keyword,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope,google_news_count,category,avg_view_count,avg_like_count,avg_comment_count
강풍 경보,50.07,200000.0,600.0,0.36,0.03,2,기후,36627.3,143.0,11.0
날씨예보,50.02,200.0,100.0,480.77,10.29,73,기후,16919.0,221.0,27.7
대구 날씨,47.56,500.0,100.0,457.31,9.74,9,기후,2464.7,28.0,3.0
울산날씨,27.1,100.0,400.0,176.31,3.61,1,기후,2399.3,0.0,0.0
일기예보,16.45,500.0,200.0,131.11,2.63,5,기후,11633.0,141.7,27.3
유튜브 문제가 발생했습니다,57.46,100000.0,1000.0,15.46,-1.1,6,엔터테인먼트,28194.3,280.3,192.0
문상민,51.1,1000.0,100.0,354.67,14.05,83,엔터테인먼트,792023.7,46290.7,400.0
파반느,47.07,10000.0,500.0,231.73,11.77,99,엔터테인먼트,88001.0,463.7,51.7
김태리,43.23,2000.0,400.0,235.63,12.03,55,엔터테인먼트,60132.7,884.3,58.0
아너 그녀들의 법정,38.08,100.0,200.0,336.28,-6.83,61,엔터테인먼트,19083.7,121.7,10.7
윤영경,38.02,5000.0,900.0,100.16,10.72,18,엔터테인먼트,14133.0,49.3,13.3
정동원,36.04,500.0,100.0,249.83,6.45,21,엔터테인먼트,1365804.9,10975.8,619.1
금잔디,32.82,200.0,1000.0,153.89,-6.69,10,엔터테인먼트,180208.7,1918.7,728.7
홍자,29.8,200.0,1000.0,110.7,-4.61,11,엔터테인먼트,26137.7,881.7,413.3
김인호,59.34,10000.0,700.0,59.77,2.96,9,비즈니스 및 금융,112984.3,992.7,108.0
비트코인,58.97,5000.0,200.0,420.17,3.51,98,비즈니스 및 금융,5411.7,215.7,16.0
케이뱅크 공모주,51.51,2000.0,400.0,281.55,9.95,8,비즈니스 및 금융,32763.0,1019.3,47.7
하이닉스 주가,48.87,5000.0,300.0,232.43,5.25,46,비즈니스 및 금융,4491.0,419.7,5.7
엔화,37.6,100.0,100.0,439.42,1.37,23,비즈니스 및 금융,27395.0,318.3,68.3
주식,33.25,100.0,100.0,333.26,4.27,100,비즈니스 및 금융,86925.0,1630.0,357.7
에어로케이,33.12,2000.0,300.0,270.45,-0.43,4,비즈니스 및 금융,6051.0,95.7,34.0
에스팀,26.08,1000.0,300.0,101.95,6.53,22,비즈니스 및 금융,7985.3,412.7,45.3
신영자,25.95,1000.0,300.0,104.36,6.31,5,비즈니스 및 금융,85214.3,763.0,93.7
액스비스,25.6,100.0,100.0,155.5,8.88,23,비즈니스 및 금융,12225.3,567.7,36.3
엘에이 fc 대 인터 마이애미,56.44,200000.0,1000.0,0.03,0.0,8,스포츠,1628720.0,16651.3,2201.3
mls,48.01,20000.0,1000.0,161.02,8.33,100,스포츠,819268.0,11242.7,1115.3
챔피언스리그,46.42,1000.0,1000.0,306.88,-8.01,100,스포츠,80576.7,770.7,195.3
인테르,41.83,100.0,300.0,343.57,0.49,23,스포츠,79092.7,1034.3,294.3
노시환,41.62,5000.0,1000.0,105.65,10.67,75,스포츠,150084.7,2889.0,1319.7
토트넘 대 아스널,38.92,100000.0,1000.0,0.0,0.0,1,스포츠,802490.7,5851.0,1742.3
레알 에스파냐 대 엘에이 fc,38.92,100000.0,1000.0,0.0,0.0,11,스포츠,200058.3,4010.7,225.7
psg 대 메스,30.17,50000.0,1000.0,0.0,0.0,1,스포츠,390982.3,2356.0,859.7
울브스 대 아스널,30.17,50000.0,1000.0,0.0,0.0,3,스포츠,256116.0,1598.0,463.7
맨 시티 대 뉴캐슬,24.97,20000.0,1000.0,0.49,0.0,2,스포츠,1600081.4,13218.3,426.7
