category,keyword,avg_view_count,avg_like_count,avg_comment_count
기후,강풍 경보,36627.3,143.0,11.0
기후,날씨,5478.7,179.0,11.7
기후,날씨예보,16919.0,221.0,27.7
기후,내일 날씨,7991.7,148.3,8.3
기후,대구 날씨,2464.7,28.0,3.0
기후,부산날씨,3987.6,51.0,5.6
기후,울산날씨,2399.3,0.0,0.0
기후,일기예보,11633.0,141.7,27.3
비즈니스 및 금융,김인호,112984.3,992.7,108.0
비즈니스 및 금융,비트코인,5411.7,215.7,16.0
비즈니스 및 금융,신영자,85214.3,763.0,93.7
비즈니스 및 금융,액스비스,12225.3,567.7,36.3
비즈니스 및 금융,에스팀,7985.3,412.7,45.3
비즈니스 및 금융,에어로케이,6051.0,95.7,34.0
비즈니스 및 금융,엔화,27395.0,318.3,68.3
비즈니스 및 금융,주식,86925.0,1630.0,357.7
비즈니스 및 금융,케이뱅크 공모주,32763.0,1019.3,47.7
비즈니스 및 금융,하이닉스 주가,4491.0,419.7,5.7
스포츠,mls,819268.0,11242.7,1115.3
스포츠,psg 대 메스,390982.3,2356.0,859.7
스포츠,노시환,150084.7,2889.0,1319.7
스포츠,레알 에스파냐 대 엘에이 fc,200058.3,4010.7,225.7
스포츠,맨 시티 대 뉴캐슬,1600081.4,13218.3,426.7
스포츠,엘에이 fc 대 인터 마이애미,1628720.0,16651.3,2201.3
스포츠,울브스 대 아스널,256116.0,1598.0,463.7
스포츠,인테르,79092.7,1034.3,294.3
스포츠,챔피언스리그,80576.7,770.7,195.3
스포츠,토트넘 대 아스널,802490.7,5851.0,1742.3
엔터테인먼트,금잔디,180208.7,1918.7,728.7
엔터테인먼트,김태리,60132.7,884.3,58.0
엔터테인먼트,문상민,792023.7,46290.7,400.0
엔터테인먼트,부산찬란한 너의 계절에,15013707.0,169726.0,2466.7
엔터테인먼트,아너 그녀들의 법정,19083.7,121.7,10.7
엔터테인먼트,유튜브 문제가 발생했습니다,28194.3,280.3,192.0
엔터테인먼트,윤영경,14133.0,49.3,13.3
엔터테인먼트,정동원,1365804.9,10975.8,619.1
엔터테인먼트,파반느,88001.0,463.7,51.7
엔터테인먼트,홍자,26137.7,881.7,413.3
