category,rank_title,total_score,google_news_count,ocean_status
기후,강풍 경보,50.07,2,🔵 블루오션
기후,날씨예보,50.02,73,🔴 레드오션
기후,대구 날씨,47.56,9,🔵 블루오션
기후,울산날씨,27.1,1,🏕️ 마이너(잠복기)
기후,일기예보,16.45,5,🏕️ 마이너(잠복기)
기후,오늘의 날씨,9.01,0,🏕️ 마이너(잠복기)
기후,wind warning,6.0,0,🏕️ 마이너(잠복기)
기후,cuaca besok,3.16,0,🏕️ 마이너(잠복기)
기후,天気,3.0,0,🏕️ 마이너(잠복기)
기후,thời tiết ngày mai,0.33,0,🏕️ 마이너(잠복기)
엔터테인먼트,유튜브 문제가 발생했습니다,57.46,6,🔵 블루오션
엔터테인먼트,문상민,51.1,83,🔴 레드오션
엔터테인먼트,파반느,47.07,99,🔴 레드오션
엔터테인먼트,찬란한 너의 계절에,44.49,0,🔵 블루오션
엔터테인먼트,김태리,43.23,55,🔴 레드오션
엔터테인먼트,아너 그녀들의 법정,38.08,61,🔴 레드오션
엔터테인먼트,윤영경,38.02,18,🔵 블루오션
엔터테인먼트,정동원,36.04,21,🔵 블루오션
엔터테인먼트,금잔디,32.82,10,🏕️ 마이너(잠복기)
엔터테인먼트,홍자,29.8,11,🏕️ 마이너(잠복기)
비즈니스 및 금융,김인호,59.34,9,🔵 블루오션
비즈니스 및 금융,비트코인,58.97,98,🔴 레드오션
비즈니스 및 금융,케이뱅크 공모주,51.51,8,🔵 블루오션
비즈니스 및 금융,하이닉스 주가,48.87,46,🔴 레드오션
비즈니스 및 금융,엔화,37.6,23,🔵 블루오션
비즈니스 및 금융,주식,33.25,100,🫧 미디어 버블
비즈니스 및 금융,에어로케이,33.12,4,🏕️ 마이너(잠복기)
비즈니스 및 금융,에스팀,26.08,22,🏕️ 마이너(잠복기)
비즈니스 및 금융,신영자,25.95,5,🏕️ 마이너(잠복기)
비즈니스 및 금융,액스비스,25.6,23,🏕️ 마이너(잠복기)
스포츠,엘에이 fc 대 인터 마이애미,56.44,8,🔵 블루오션
스포츠,mls,48.01,100,🔴 레드오션
스포츠,챔피언스리그,46.42,100,🔴 레드오션
스포츠,인테르,41.83,23,🔵 블루오션
스포츠,노시환,41.62,75,🔴 레드오션
스포츠,토트넘 대 아스널,38.92,1,🔵 블루오션
스포츠,레알 에스파냐 대 엘에이 fc,38.92,11,🔵 블루오션
스포츠,psg 대 메스,30.17,1,🏕️ 마이너(잠복기)
스포츠,울브스 대 아스널,30.17,3,🏕️ 마이너(잠복기)
스포츠,맨 시티 대 뉴캐슬,24.97,2,🏕️ 마이너(잠복기)
