keyword,avg_view_count,avg_like_count,avg_comment_count,engagement_rate,temperature_status
노시환,150084.7,2889.0,1319.7,2.8,♨️ 훈훈한 호감
레알 에스파냐 대 엘에이 fc,200058.3,4010.7,225.7,2.12,♨️ 훈훈한 호감
인테르,79092.7,1034.3,294.3,1.68,♨️ 훈훈한 호감
mls,819268.0,11242.7,1115.3,1.51,♨️ 훈훈한 호감
챔피언스리그,80576.7,770.7,195.3,1.2,🍃 가벼운 관심
엘에이 fc 대 인터 마이애미,1628720.0,16651.3,2201.3,1.16,🍃 가벼운 관심
토트넘 대 아스널,802490.7,5851.0,1742.3,0.95,🍃 가벼운 관심
맨 시티 대 뉴캐슬,1600081.4,13218.3,426.7,0.85,🍃 가벼운 관심
psg 대 메스,390982.3,2356.0,859.7,0.82,🍃 가벼운 관심
울브스 대 아스널,256116.0,1598.0,463.7,0.8,🍃 가벼운 관심
